date,year,month,day,users,num_likes,num_likers,num_posters,num_posts,num_posts_with_images,num_images,num_images_with_alt_text,num_first_time_posters,num_follows,num_followers,num_blocks,num_blockers
2023-05-08,2023,5,8,31522.0,303713,14965,13097,96170,12842,15795,1765,1009,133304,12845,10508,1502
2023-05-09,2023,5,9,,343903,15607,13903,104332,13618,16544,1991,1255,186202,13680,9366,1270
2023-05-10,2023,5,10,,323549,15961,14215,103302,14017,16939,2092,1288,129780,13921,9851,1222
2023-05-11,2023,5,11,,308078,15789,13961,100859,13459,16106,1963,1219,100698,13555,11493,857
2023-05-12,2023,5,12,40012.0,327842,16220,14262,108722,14954,17861,2326,1399,115048,14078,9527,1145
2023-05-13,2023,5,13,,333980,15564,13383,106949,14964,18465,2413,1206,99574,13357,9024,1319
2023-05-14,2023,5,14,,304724,14619,12253,91222,13226,16185,1992,786,72891,11117,10307,1690
2023-05-15,2023,5,15,,305288,15297,13263,95398,12378,14932,2051,948,102098,12228,10661,1476
2023-05-16,2023,5,16,,324461,15735,13547,102864,13189,15809,2140,979,88620,12896,6909,1043
2023-05-17,2023,5,17,,354759,15896,13847,107060,13028,15734,2238,919,75122,12895,5697,805
2023-05-18,2023,5,18,,323564,15604,13584,102536,12880,15580,2231,980,71784,12581,6560,818
2023-05-19,2023,5,19,,308428,15163,13162,101084,12894,15624,2110,914,78451,12103,8814,1076
2023-05-20,2023,5,20,,269138,14225,12072,88191,12572,15389,2095,738,64005,10227,4621,619
2023-05-21,2023,5,21,,272245,13997,11599,86754,11328,14115,2002,600,71707,9844,4812,1074
2023-05-22,2023,5,22,,267915,14213,12263,87998,10687,12854,2172,716,56894,10230,7953,1464
2023-05-23,2023,5,23,,257339,14442,12464,88073,11316,13728,2187,773,51196,10365,7676,1179
2023-05-24,2023,5,24,,270058,14736,12722,91126,11365,13727,2275,885,56243,11232,7850,919
2023-05-25,2023,5,25,,268080,14600,12617,92240,11045,13545,2158,1029,54652,11209,7779,773
2023-05-26,2023,5,26,99974.0,280133,14770,12855,97208,12172,14754,2346,1098,60725,11700,8521,857
2023-05-27,2023,5,27,,274402,14567,12176,87421,12269,15124,2326,985,57322,11213,9465,1185
2023-05-28,2023,5,28,,260637,13947,11668,83206,11182,13829,2096,794,51615,10172,8624,1165
2023-05-29,2023,5,29,,253553,13991,11574,78430,10270,12728,2041,743,45638,9821,6292,697
2023-05-30,2023,5,30,,276621,14906,12692,89600,11330,13657,2156,1003,61182,11389,11513,790
2023-05-31,2023,5,31,,312592,15198,13027,94137,11622,13981,2168,930,55031,11450,6882,1180
2023-06-01,2023,6,1,104309.0,278048,15205,12931,87685,11876,14453,2425,847,53680,10891,5486,583
2023-06-02,2023,6,2,,271469,15010,12917,88148,11711,14408,2580,897,56619,11044,5942,468
2023-06-03,2023,6,3,,263540,14365,11785,83829,11597,14314,2330,763,48228,9770,4640,639
2023-06-04,2023,6,4,,263004,14165,11582,80760,11324,14252,2229,670,45063,9602,4298,645
2023-06-05,2023,6,5,,280130,14827,12869,88776,11495,14245,2275,756,54441,10363,28808,675
2023-06-06,2023,6,6,111739.0,279396,14820,12568,86583,11328,13956,2245,786,46830,10349,10645,665
2023-06-07,2023,6,7,,292864,15432,13692,91974,12027,14715,2300,1133,58199,11624,8067,1089
2023-06-08,2023,6,8,,300149,15633,13668,91832,12081,14911,2343,1061,59058,12176,6879,588
2023-06-09,2023,6,9,114463.0,313997,15664,13416,93325,12396,15209,2434,1098,60431,11896,8010,849
2023-06-10,2023,6,10,,280078,14979,12504,84152,11660,14779,2441,1003,52989,10923,8978,428
2023-06-11,2023,6,11,,272873,14732,12310,82847,11768,14882,2323,1039,53252,10608,7862,641
2023-06-12,2023,6,12,120372.0,291819,16284,13752,86744,11466,14327,2473,1295,61259,12336,9493,771
2023-06-13,2023,6,13,,322055,16945,14404,102258,12982,15847,2659,1123,66230,12551,7110,710
2023-06-14,2023,6,14,,338718,17719,15412,105756,13542,16760,2608,1852,99181,15101,12163,583
2023-06-15,2023,6,15,,360404,17767,15555,110425,13951,17301,2583,1499,95026,15155,10419,836
2023-06-16,2023,6,16,,368991,17741,15530,112976,14459,17702,2634,1306,76271,13392,10964,1304
2023-06-17,2023,6,17,,332500,16837,13890,93358,13494,17115,2389,1060,62107,11736,8532,979
2023-06-18,2023,6,18,,331053,16258,13349,90726,12941,16491,2554,787,50202,10515,5361,776
2023-06-19,2023,6,19,,347120,16871,14143,104024,12859,16327,2629,838,53637,11283,5848,843
2023-06-20,2023,6,20,,355103,17070,14620,104759,13410,16291,2742,819,51820,11314,5060,713
2023-06-21,2023,6,21,142843.0,437036,19901,17354,125143,15937,19337,3224,1972,106304,16141,12003,729
2023-06-22,2023,6,22,,696912,27987,24987,200695,25855,32303,4793,6389,347174,31242,34947,3496
2023-06-23,2023,6,23,154085.0,629775,27513,23784,184324,24408,30509,4829,3014,190458,26577,17110,2253
2023-06-24,2023,6,24,,507897,25364,20696,140109,20599,26006,4089,1656,115767,20167,8302,1659
2023-06-25,2023,6,25,,473119,23893,19368,131752,19221,24402,4263,1330,92364,17927,9129,1845
2023-06-26,2023,6,26,,504731,25016,20872,143847,19524,24194,4340,1599,106142,19648,7790,1376
2023-06-27,2023,6,27,,550201,26987,22933,160256,21621,26658,5435,2343,172965,23084,16844,2594
2023-06-28,2023,6,28,,554318,27050,23177,161821,21191,26250,5348,2308,139084,22833,14901,1833
2023-06-29,2023,6,29,,548969,27107,22956,163199,21019,25913,6569,2160,117794,21557,13273,1680
2023-06-30,2023,6,30,,570730,28007,23860,155817,20911,25826,6871,2266,116514,21903,14975,2076
2023-07-01,2023,7,1,195094.0,1054222,59621,55590,322648,43558,53672,10558,14706,749931,66920,35352,3078
2023-07-02,2023,7,2,,1778703,70717,59469,485964,61487,77503,15224,5508,813043,75637,55986,9675
2023-07-03,2023,7,3,,1770548,84877,74071,527272,67789,87341,17574,23831,1333551,103720,65864,7609
2023-07-04,2023,7,4,244492.0,1662415,83522,71198,480542,66383,85549,18525,10622,884279,92330,40898,11923
2023-07-05,2023,7,5,265950.0,1381850,76536,63842,404355,53276,67461,16240,5963,545250,75374,31600,10001
2023-07-06,2023,7,6,,1521826,78632,66514,424446,53572,66403,16670,6413,439755,70688,17625,6349
2023-07-07,2023,7,7,274360.0,1267442,68699,56531,356504,47867,60130,16661,4534,368584,56697,17502,5418
2023-07-08,2023,7,8,,1075697,61167,48763,296708,42137,54088,15098,3122,249633,44783,12326,3456
2023-07-09,2023,7,9,,971297,56987,45094,267389,38351,49189,13967,2244,207748,38517,9971,3108
2023-07-10,2023,7,10,288842.0,986089,57592,46581,279201,36412,45889,13075,2406,190126,39529,8737,3294
2023-07-11,2023,7,11,,967495,55743,45733,274650,36298,48146,14406,2375,183758,37488,13277,7354
2023-07-12,2023,7,12,,994408,56045,45903,288674,36454,45865,13229,2886,199758,39244,15555,5202
2023-07-13,2023,7,13,,969780,54630,43935,267237,31175,39257,9787,3241,190209,39459,30162,6317
2023-07-14,2023,7,14,,925046,52642,41773,259620,31244,38996,9882,3004,184325,38402,17022,4658
2023-07-15,2023,7,15,,838267,50111,38552,238835,30409,39101,9796,2389,149924,32990,16358,4936
2023-07-16,2023,7,16,,800943,48402,37606,246705,30203,39275,10111,2273,144828,31189,15451,4697
2023-07-17,2023,7,17,,835367,50599,39917,253653,31419,39739,11075,2351,161144,33866,8374,3349
2023-07-18,2023,7,18,,840808,49901,39696,262466,31718,39640,11798,2281,143132,31995,7590,2376
2023-07-19,2023,7,19,,911649,49900,40304,279557,32195,39986,12144,2139,131147,31096,10775,3567
2023-07-20,2023,7,20,,849624,48026,38768,253765,31423,39520,11881,1865,111893,28170,10452,3506
2023-07-21,2023,7,21,,825899,47548,38344,239158,30840,38743,11871,2036,118474,27652,9554,3296
2023-07-22,2023,7,22,,751553,45117,35608,214613,29833,38067,11246,2264,138212,27083,10948,3101
2023-07-23,2023,7,23,,853067,51951,41436,238271,33925,43622,12143,3979,201335,38805,10789,3506
2023-07-24,2023,7,24,,1456601,85626,71475,404304,59056,78985,19133,15258,870744,90172,16734,5507
2023-07-25,2023,7,25,,1623638,91580,74423,442079,66142,88988,22122,11742,801760,92447,16086,4432
2023-07-26,2023,7,26,,1500660,86406,69363,411984,58768,77698,20378,6641,507588,74817,19457,8542
