feed,user,description,likes
Popular With Friends,@bsky.app,A mix of popular content from accounts you follow and content that your follows like.,"37,972"
Discover,@bsky.app,Trending content from your personal network,"36,646"
📌,@jaz.bsky.social,A feed of posts you've replied to with a 📌.,"35,769"
Artists: Trending,@bsky.art,"General art feed — image posts from artists across Bluesky, sorted by trending.
For information on how to post and affiliated accounts, visit: www.bsky.art","31,141"
Blacksky,@rudyfraser.com,"An algorithm showcasing posts by Black users on the network.
Use #AddToBlackSky at least once to add yourself.
Use #BlackSky to add only a single post.

Subscribe to @blacksky.app to report posts or accounts that should be removed.","27,255"
Science,@bossett.social,"The Science Feed. A curated feed from Bluesky professional scientists,  science communicators, and science/nature photographer/artists. See https://l.bossett.io/vkeNf for more information! 🧪","27,139"
Mutuals,@skyfeed.xyz,Posts from users who are following you back,"26,797"
Cat Pics,@jaz.bsky.social,A feed of cat pictures from the whole network (sometimes not cats),"23,922"
BookSky 💙📚 #booksky,@clarabelle.xyz,A feed for anyone who likes reading and books. Share what you're reading with us by using 💙📚 or #booksky in your posts. More #booksky feeds 👉🏻 booksky.club/list,"23,895"
📰 News,@aendra.com,Headlines from verified news organisations in reverse-chronological order. Maintained by @aendra.com.,"22,888"
OnlyPosts,@skyfeed.xyz,Posts from people you follow without reposts and replies,"18,259"
For You,@skygaze.io,Learns what you like,"16,111"
Quiet Posters,@why.bsky.team,Posts from your quieter followers,"14,395"
Birds! 🦉,@daryllmarie.bsky.social,"Bird galore! Users must be added to the contributor list to be able to post to the feed. 
More info: https://blueskyfeedcreator.com/p/daryllmarie.bsky.social/aaagllxbcbsje","12,957"
Gardening,@eepy.bsky.social,"Your one-stop-shop for houseplants, chickens, flowers, botany, foraging, and anything related to plants.

v1.6.2 Built with Skyfeed.","12,604"
What's Hot Classic,@bsky.app,The original What's Hot experience,"10,245"
Art: What's Hot,@wanderlingworld.bsky.social,"See what's hot in art by human artists! Filters out AI/NFTs. Use #art to post. Pulls from a growing list of popular art related hashtags. Please Pin, Like and Share to help the feed get discovered!","9,994"
Gift Links/Gift Articles,@davidsacerdote.bsky.social,"Gift links or Gift Articles - paywall bypassing links to major publications.

Like and pin this feed so you and others can find it easily.

Set 'Content Languages' to see more from other countries in the Gift Link Feed:
https://bsky.app/settings/language","9,388"
Anime & Manga EN 🆕,@anianimals.moe,Feed of Anime and Manga fandom Keywords mostly in English in chronological order. // Made at BlueskyFeeds.com,"9,237"
Trending Brasil,@jnascim.info,Postagens do Bluesky Brasil com mais de 1.000 curtidas nas últimas 24 horas,"8,965"
📽️ Film,@francesmeh.reviews,"A better movies feed for film lovers! Filmsky posts, movie news & reviews, trailers, Letterboxd chatter — it’s all here.

To publish to it use the film projector emoji 📽️

Don't forget to ❤️ this feed!","8,542"
Game Dev,@trezy.codes,"Posts about all aspects of game development.

Opt in with ""game"", followed by animation, art, audio, design, dev, jam, lighting, music, narrative, or writing.
Opt out with #Private, #NoFeed, or #NoGameDev.

Discuss at trezy.studio/discord.
Support the feed at ko-fi.com/trezycodes.","8,309"
Mentions,@flicknow.xyz,"Only posts that directly reply, mention, or quote post you

If you are having issues with missing posts please consider removing all languages from Content Languages in your Settings","7,576"
Astronomy,@emily.space,"Astronomy posts, from astronomers!
Any astronomer can post here by signing up via @bot.astronomy.blue
Contains posts from signed up users with a 🔭, #astronomy, or #astro.","7,533"
📰 Trending News,@aendra.com,Trending headlines from verified news organisations. Maintained by @aendra.com,"7,055"
The 'Gram,@why.bsky.team,All the pictures posted by people you follow,"7,001"
NFL+,@parkermolloy.com,Football talk on Bluesky.,"6,731"
Video,@bsky.app,Trending videos in the Bluesky network,"5,959"
Bluesky Team,@bsky.app,Posts from members of the Bluesky Team,"5,588"
After Dark,@slut.dog,NSFW media from people you follow. Includes all posts with NSFW labels. Contact @slut.dog for issues.,"5,312"
🐾 Hot,@furryli.st,"Furry
Hottest posts by furries across Bluesky. Contains a mix of SFW and NSFW content.

Join the furry feeds by following @furryli.st","5,072"
#Disability,@allyann.bsky.social,"Any post that contains the keywords of disability, #disability, #pwd, #NDIS, #accessibility, #accessible and ♿ will be picked up in this feed.","4,862"
Japanese Cluster,@jaz.bsky.social,A feed of all posts from authors in the Japanese language cluster,"4,839"
Like Club,@retr0.id,The first rule of Like Club is... you've gotta like the feed before you can see it :P,"4,775"
🔞 Adult Content,@fetish.church,"Formerly ""Suggestive"". All (nonviolent) image posts from the last week that have been labelled by the content moderation system. Ignores skeets with the text ""#private"" or ""!no-promotion"".","4,693"
Mutuals,@bsky.app,See posts from your mutual follows,"4,616"
Dog Pics,@jaz.bsky.social,A feed of dog pictures from the whole network (sometimes not dogs),"4,516"
Video Games,@wyattswickedgoods.com,A curated feed for everything video game related! Use the 🎮 emoji if you'd like to make sure your post ends up in the feed.,"4,335"
Gugu,@brunoruchiga.bsky.social,"Nova rede social de micro-blogging apenas com posts de 4 caracteres

⚠️ Novas mensagens podem demorar a aparecer","4,319"
Brasil Supercluster,@jaz.bsky.social,A feed of all posts from authors in the Brasil Supercluster,"4,261"
🐾 New,@furryli.st,"Furry
Posts by furries across Bluesky. Contains a mix of SFW and NSFW content.

Join the furry feeds by following @furryli.st","4,150"
My Bangers,@jaz.bsky.social,A feed of your most popular posts sorted by likes.,"4,000"
Blacksky: Trending,@rudyfraser.com,Trending content from the Black users of Bluesky.,"3,911"
Followers,@jaz.bsky.social,A feed of posts from non-moots who follow you (uno reverse card). Will only load posts from the past 24 hours.,"3,762"
NBAsky,@davelevitan.bsky.social,"People who cover, talk about, or just enjoy NBA basketball","3,748"
What's Cooking 🍽️,@clarabelle.xyz,"home cooking, fermentation, homebrewing, pickling, baking, canning, preserving, delicious food and much more! 🍽️

run by @clarabelle.xyz - approving new chefs again starting in spring 2025!","3,710"
Trans+Queer Shitposters,@jaz.bsky.social,A feed of all posts from authors in the Trans + Queer Shitposters Cluster,"3,652"
🐾 Art,@furryli.st,"Furry
Posts by furries with #furryart. Contains a mix of SFW and NSFW content.

Join the furry feeds by following @furryli.st","3,608"
Latest From Follows,@why.bsky.team,most recent posts from everyone you follow,"3,463"
Urbanism+,@fema.monster,"A feed for urbanists, transit nerds, cyclists, and advocates of safe and accessible cities. 

Check out @labeler.urbanism.plus for moderation and flair!

Fund the project: tinyurl.com/m5jrmc25","3,399"
Discover,@skyfeed.xyz,"Posts you might enjoy, based on your likes. Full algorithm: https://skyfeed.xyz/queries","3,349"
SciArt 🐡,@flyingtrilobite.com,"🔸The intersection of art + science.
🔸Medical illustration, fine art, paleoart, web comics, space art, bioart, & more. 
🔸Contributors: use #SciArt or 🐡  in post or alt text for posts to appear.
🚫No AI/NFTs
🔹Curated by @FlyingTrilobite.com | Thank you @blueappaloosa.bsky.social !","3,258"
MLB+,@parkermolloy.com,Baseball talk on Bluesky.,"3,236"
AcademicSky,@markrubin.bsky.social,"Tag = #AcademicSky

academia | academic chatter | academic jobs | higher education | scholarship | science | university

(If you like the feed, then please 💓 it!)","3,212"
Catch Up,@skyfeed.xyz,Most popular posts from the last 24 hours,"3,198"
GreenSky,@ketanjoshi.co,"A big list of climate accounts, filtered loosely for keywords. Fill in the form if you want in! All details and full member list here:

https://docs.google.com/spreadsheets/d/1QSghRrJxr7tWAGi9Shpwc6QMG5iSnJrNAW9alkHY8kw/edit#gid=0","3,183"
Notícias do Momento,@farofa.com.br,"Noticias das últimas 24 horas, de fontes confiáveis  e canais oficiais do BlueSky


Criado por @farofa.com.br","2,998"
Home+,@memgraph.com,"Its the Home feed Blue Sky was missing until now: A feed that shows those you care about, and adds interesting content from your extended social circles giving you a familiar, twitter home like experience","2,983"
Likes,@jcsalterego.bsky.social,Your Likes. See more at https://goodfeeds.co/likes,"2,940"
